call_id,paso,concurrencia_obj,t_prog,t_inicio,t_conectado,saludo_s,t_fin,turnos_plan,turnos_cliente,turnos_server,turnos_sin_resp,status,ended_reason,error,mic_lag_max_s,workflow_status,outcome,wer,cortes
8dff9129-a916-4e20-bac0-2d546d357d94,e2_16,16,1790377465.175,1790377465.175,1790377465.366,1.219,1790377583.29,8,8,8,0,finalizada,customer_hangup,,0.0,active,,0.018,6
fd0fcad2-3080-428d-9c98-0b5610f49de9,e2_16,16,1790377523.71,1790377523.71,1790377523.947,3.769,1790377599.185,5,5,5,0,finalizada,customer_hangup,,0.0,completed,,0.071,5
dd0251ff-2d61-4062-974c-c06f36f71b26,e3_32,32,1790377532.832,1790377532.836,1790377533.053,0.962,1790377599.039,5,5,5,0,finalizada,customer_hangup,,0.0,completed,,0.059,5
4b280d49-a251-4705-bb9a-b412ba2287c4,e3_32,32,1790377547.705,1790377547.705,1790377547.898,1.127,1790377633.327,6,6,6,0,finalizada,customer_hangup,,0.0,active,,0.0,6
a344f53a-cde7-498d-8030-426bba24b22a,e3_32,32,1790377593.1,1790377593.1,1790377593.314,1.061,1790377644.919,4,4,4,0,finalizada,customer_hangup,,0.0,completed,,0.462,6
470df07e-cb11-4408-adf1-11d58879cd52,e3_32,32,1790377578.32,1790377578.321,1790377578.561,1.054,1790377646.27,4,4,4,0,finalizada,customer_hangup,,0.0,active,,0.091,4
6b48b40d-ed45-438c-8e59-4d099e441095,e3_32,32,1790377564.609,1790377564.61,1790377564.806,1.119,1790377658.661,6,6,6,0,finalizada,customer_hangup,,0.0,completed,,0.08,5
2775ad87-212e-4c8a-ac46-719510b9a9d9,e3_32,32,1790377596.425,1790377596.425,1790377596.616,1.229,1790377671.684,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.0,5
a439fb36-c430-40ef-85bf-7f741c7747f3,e3_32,32,1790377556.723,1790377556.723,1790377556.96,1.474,1790377676.244,8,8,8,0,finalizada,customer_hangup,,0.0,active,,0.031,7
9481237b-1703-4a45-a479-353f5263344d,e3_32,32,1790377571.037,1790377571.037,1790377571.225,1.0,1790377698.298,6,6,6,0,finalizada,customer_hangup,,0.0,active,,0.128,14
3f99287a-19a3-4906-9f77-9a5fc19db42d,e3_32,32,1790377610.056,1790377610.056,1790377610.296,0.95,1790377716.953,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.0,10
69f646f6-2b76-4045-9306-2a0ea132c21b,e3_32,32,1790377648.533,1790377648.534,1790377648.73,1.709,1790377722.293,4,4,4,0,finalizada,customer_hangup,,0.0,active,,0.025,3
05d83542-95e0-4673-aecd-2e0ba0089552,e3_32,32,1790377637.982,1790377637.983,1790377638.176,1.36,1790377725.575,5,5,5,0,finalizada,customer_hangup,,0.0,completed,,0.263,8
242109b2-5a54-4932-9edb-6645d542e573,e3_32,32,1790377628.748,1790377628.749,1790377628.956,1.75,1790377725.909,4,4,4,0,finalizada,customer_hangup,,0.0,active,,0.04,10
5d35bb2d-1d11-438c-b8f4-211c105177d6,e3_32,32,1790377622.022,1790377622.023,1790377622.267,3.788,1790377730.164,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.0,7
7fdf921e-e65e-462d-a41f-ee5e7f167180,e3_32,32,1790377533.228,1790377533.232,1790377533.45,1.058,1790377609.962,6,6,6,0,finalizada,customer_hangup,,0.0,active,,0.074,7
68f564fe-7458-44a1-b1f7-ef280673df89,e3_32,32,1790377558.194,1790377558.194,1790377558.389,1.309,1790377632.62,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.069,7
